Name,Genres,Language,Rating,OrderedSet
American Chopper,[],English,6.6,American Chopper | [] | English | 6.6
American Chopper: Senior vs. Junior,[],English,,American Chopper: Senior vs. Junior | [] | English
American Crime,"['Drama', 'Crime']",English,7.7,"American Crime | ['Drama', 'Crime'] | English | 7.7"
American Crime Story,"['Drama', 'Crime']",English,7.1,"American Crime Story | ['Drama', 'Crime'] | English | 7.1"
American Dad!,"['Comedy', 'Family']",English,7.4,"American Dad! | ['Comedy', 'Family'] | English | 7.4"
American Gothic,"['Drama', 'Horror']",English,7.6,"American Gothic | ['Drama', 'Horror'] | English | 7.6"
American Horror Story,"['Drama', 'Horror', 'Thriller']",English,7.5,"American Horror Story | ['Drama', 'Horror', 'Thriller'] | English | 7.5"
American Idol,['Music'],English,5,American Idol | ['Music'] | English | 5
American Ninja Warrior,"['Action', 'Sports']",English,6.5,"American Ninja Warrior | ['Action', 'Sports'] | English | 6.5"
American Odyssey,"['Action', 'Adventure', 'Thriller']",English,6.8,"American Odyssey | ['Action', 'Adventure', 'Thriller'] | English | 6.8"
American Pickers,"['Travel', 'History']",English,7.6,"American Pickers | ['Travel', 'History'] | English | 7.6"
American Rehab: Virginia,['DIY'],English,,American Rehab: Virginia | ['DIY'] | English
American Restoration,['History'],English,6.4,American Restoration | ['History'] | English | 6.4
American Takedown,"['Drama', 'Crime', 'Thriller']",English,,"American Takedown | ['Drama', 'Crime', 'Thriller'] | English"
American Titans,['History'],English,,American Titans | ['History'] | English
Amish Renogades,"['Travel', 'DIY']",English,,"Amish Renogades | ['Travel', 'DIY'] | English"
Amnesia,"['Drama', 'Action', 'Anime', 'Mystery']",Japanese,5.1,"Amnesia | ['Drama', 'Action', 'Anime', 'Mystery'] | Japanese | 5.1"
An Idiot Abroad,"['Comedy', 'Adventure', 'Travel']",English,7.6,"An Idiot Abroad | ['Comedy', 'Adventure', 'Travel'] | English | 7.6"
Ancient Aliens,[],English,6.5,Ancient Aliens | [] | English | 6.5
Ancient Discoveries,['History'],English,,Ancient Discoveries | ['History'] | English
Ancient Impossible,['History'],English,7.6,Ancient Impossible | ['History'] | English | 7.6
Andrew Marr's History of the World,['History'],English,,Andrew Marr's History of the World | ['History'] | English
Andromeda,"['Action', 'Science-Fiction']",English,7.7,"Andromeda | ['Action', 'Science-Fiction'] | English | 7.7"
Angel,"['Drama', 'Action', 'Supernatural']",English,8.2,"Angel | ['Drama', 'Action', 'Supernatural'] | English | 8.2"
Angel from Hell,"['Comedy', 'Fantasy']",English,6.5,"Angel from Hell | ['Comedy', 'Fantasy'] | English | 6.5"
Angel o Demonio,"['Drama', 'Fantasy', 'Mystery']",Spanish,,"Angel o Demonio | ['Drama', 'Fantasy', 'Mystery'] | Spanish"
Angels in America,"['Drama', 'Fantasy']",English,7.9,"Angels in America | ['Drama', 'Fantasy'] | English | 7.9"
Anger Management,['Comedy'],English,6.4,Anger Management | ['Comedy'] | English | 6.4
Angry Boys,['Comedy'],English,6,Angry Boys | ['Comedy'] | English | 6
Animals LOL,"['Comedy', 'Family', 'Nature']",English,,"Animals LOL | ['Comedy', 'Family', 'Nature'] | English"
Anne of Green Gables,"['Drama', 'Anime']",Japanese,7.8,"Anne of Green Gables | ['Drama', 'Anime'] | Japanese | 7.8"
Anne of Green Gables,"['Drama', 'Family']",English,7.3,"Anne of Green Gables | ['Drama', 'Family'] | English | 7.3"
Annedroids,"['Action', 'Adventure', 'Science-Fiction']",English,,"Annedroids | ['Action', 'Adventure', 'Science-Fiction'] | English"
Another Period,['Comedy'],English,7.2,Another Period | ['Comedy'] | English | 7.2
Answered Prayers,[],English,,Answered Prayers | [] | English
Anthony Bourdain: No Reservations,"['Food', 'Travel']",English,7.8,"Anthony Bourdain: No Reservations | ['Food', 'Travel'] | English | 7.8"
Anthony Bourdain: Parts Unknown,"['Food', 'Travel']",English,7.7,"Anthony Bourdain: Parts Unknown | ['Food', 'Travel'] | English | 7.7"
Antiques Roadshow,['History'],English,7.8,Antiques Roadshow | ['History'] | English | 7.8
Antiques Roadshow,[],English,6,Antiques Roadshow | [] | English | 6
Anyone But Me,"['Drama', 'Romance']",English,,"Anyone But Me | ['Drama', 'Romance'] | English"
Aoharu x Machinegun,"['Action', 'Adventure', 'Anime']",Japanese,,"Aoharu x Machinegun | ['Action', 'Adventure', 'Anime'] | Japanese"
Aoki Hagane no Arpeggio: Ars Nova,"['Action', 'Anime', 'Science-Fiction', 'War']",Japanese,6.2,"Aoki Hagane no Arpeggio: Ars Nova | ['Action', 'Anime', 'Science-Fiction', 'War'] | Japanese | 6.2"
Apparitions,"['Drama', 'Mystery', 'Supernatural']",English,,"Apparitions | ['Drama', 'Mystery', 'Supernatural'] | English"
Aqua Teen Hunger Force,"['Comedy', 'Action', 'Adventure']",English,7.6,"Aqua Teen Hunger Force | ['Comedy', 'Action', 'Adventure'] | English | 7.6"
Aquarius,"['Drama', 'Crime']",English,7,"Aquarius | ['Drama', 'Crime'] | English | 7"
Archer,"['Comedy', 'Action', 'Espionage']",English,8.3,"Archer | ['Comedy', 'Action', 'Espionage'] | English | 8.3"
Arctic Air,"['Drama', 'Action', 'Adventure']",English,7.9,"Arctic Air | ['Drama', 'Action', 'Adventure'] | English | 7.9"
Arctic Rescue,['Adventure'],English,,Arctic Rescue | ['Adventure'] | English
Are You Afraid of the Dark?,"['Drama', 'Fantasy', 'Horror']",English,7.1,"Are You Afraid of the Dark? | ['Drama', 'Fantasy', 'Horror'] | English | 7.1"
Are You Smarter Than a 5th Grader?,[],English,,Are You Smarter Than a 5th Grader? | [] | English
Are You the One?,['Romance'],English,5.5,Are You the One? | ['Romance'] | English | 5.5
Army Wives,"['Drama', 'Family', 'Romance']",English,7.9,"Army Wives | ['Drama', 'Family', 'Romance'] | English | 7.9"
Arrested Development,"['Comedy', 'Family']",English,8.2,"Arrested Development | ['Comedy', 'Family'] | English | 8.2"
Arrow,"['Drama', 'Action', 'Science-Fiction']",English,7.4,"Arrow | ['Drama', 'Action', 'Science-Fiction'] | English | 7.4"
Arvingerne,['Drama'],Danish,7.8,Arvingerne | ['Drama'] | Danish | 7.8
Ascension,"['Drama', 'Science-Fiction']",English,7.8,"Ascension | ['Drama', 'Science-Fiction'] | English | 7.8"
Ash vs Evil Dead,"['Comedy', 'Action', 'Horror']",English,8,"Ash vs Evil Dead | ['Comedy', 'Action', 'Horror'] | English | 8"
Ashes to Ashes,"['Drama', 'Crime', 'Fantasy']",English,7.6,"Ashes to Ashes | ['Drama', 'Crime', 'Fantasy'] | English | 7.6"
Athena: Goddess of War,"['Action', 'Thriller', 'Espionage']",Korean,7.7,"Athena: Goddess of War | ['Action', 'Thriller', 'Espionage'] | Korean | 7.7"
Atlanta Plastic,['Medical'],English,,Atlanta Plastic | ['Medical'] | English
Atlantic Convoys: The War at Sea,"['War', 'History']",English,7.8,"Atlantic Convoys: The War at Sea | ['War', 'History'] | English | 7.8"
Atlantis,"['Drama', 'Adventure', 'Fantasy']",English,7.1,"Atlantis | ['Drama', 'Adventure', 'Fantasy'] | English | 7.1"
ATM 2 Romance Error,"['Drama', 'Comedy', 'Romance']",Thai,,"ATM 2 Romance Error | ['Drama', 'Comedy', 'Romance'] | Thai"
Attack on Titan,"['Action', 'Adventure', 'Anime', 'Fantasy']",Japanese,8.9,"Attack on Titan | ['Action', 'Adventure', 'Anime', 'Fantasy'] | Japanese | 8.9"
Audrina,[],English,,Audrina | [] | English
Auschwitz: Hitler's Final Solution,[],English,,Auschwitz: Hitler's Final Solution | [] | English
Avatar: The Last Airbender,"['Action', 'Adventure', 'Fantasy']",English,8.9,"Avatar: The Last Airbender | ['Action', 'Adventure', 'Fantasy'] | English | 8.9"
Awake,"['Drama', 'Fantasy', 'Thriller']",English,7.4,"Awake | ['Drama', 'Fantasy', 'Thriller'] | English | 7.4"
Awkward.,"['Drama', 'Comedy', 'Romance']",English,6.9,"Awkward. | ['Drama', 'Comedy', 'Romance'] | English | 6.9"
Ax Men,['Adventure'],English,6.2,Ax Men | ['Adventure'] | English | 6.2
Baby Daddy,"['Comedy', 'Family']",English,7.9,"Baby Daddy | ['Comedy', 'Family'] | English | 7.9"
Babylon,"['Drama', 'Comedy', 'Crime']",English,7.8,"Babylon | ['Drama', 'Comedy', 'Crime'] | English | 7.8"
Babylon 5,"['Drama', 'Action', 'Science-Fiction']",English,8.5,"Babylon 5 | ['Drama', 'Action', 'Science-Fiction'] | English | 8.5"
Bachelor in Paradise,['Romance'],English,5.6,Bachelor in Paradise | ['Romance'] | English | 5.6
Back to You,['Comedy'],English,7.4,Back to You | ['Comedy'] | English | 7.4
Backstrom,"['Drama', 'Comedy', 'Crime']",English,7.9,"Backstrom | ['Drama', 'Comedy', 'Crime'] | English | 7.9"
Bad Education,['Comedy'],English,6.6,Bad Education | ['Comedy'] | English | 6.6
Bad Girls,"['Drama', 'Crime', 'Romance']",English,7.8,"Bad Girls | ['Drama', 'Crime', 'Romance'] | English | 7.8"
Bad Girls Club,[],English,,Bad Girls Club | [] | English
Bad Judge,"['Comedy', 'Family']",English,7.4,"Bad Judge | ['Comedy', 'Family'] | English | 7.4"
Bad Teacher,['Comedy'],English,5.9,Bad Teacher | ['Comedy'] | English | 5.9
Bag of Bones,"['Drama', 'Horror', 'Mystery']",English,6.7,"Bag of Bones | ['Drama', 'Horror', 'Mystery'] | English | 6.7"
Ballers,"['Drama', 'Comedy', 'Sports']",English,7.5,"Ballers | ['Drama', 'Comedy', 'Sports'] | English | 7.5"
Band of Brothers,"['Drama', 'Action', 'War']",English,8.9,"Band of Brothers | ['Drama', 'Action', 'War'] | English | 8.9"
Bang Goes the Theory,[],English,,Bang Goes the Theory | [] | English
Banged Up Abroad,['Crime'],English,,Banged Up Abroad | ['Crime'] | English
Banished,"['Drama', 'Crime']",English,8,"Banished | ['Drama', 'Crime'] | English | 8"
Banshee,"['Drama', 'Action', 'Crime']",English,8.6,"Banshee | ['Drama', 'Action', 'Crime'] | English | 8.6"
Bar Rescue,['Food'],English,7.1,Bar Rescue | ['Food'] | English | 7.1
Barmageddon,[],English,,Barmageddon | [] | English
Barn Hunters,[],English,,Barn Hunters | [] | English
Bates Motel,"['Drama', 'Horror', 'Thriller']",English,8,"Bates Motel | ['Drama', 'Horror', 'Thriller'] | English | 8"
Batman,"['Comedy', 'Action', 'Adventure']",English,7.7,"Batman | ['Comedy', 'Action', 'Adventure'] | English | 7.7"
Batman Beyond,"['Action', 'Adventure', 'Science-Fiction']",English,8,"Batman Beyond | ['Action', 'Adventure', 'Science-Fiction'] | English | 8"
Batman: The Animated Series,"['Action', 'Adventure', 'Science-Fiction']",English,8.5,"Batman: The Animated Series | ['Action', 'Adventure', 'Science-Fiction'] | English | 8.5"
Batman: The Brave and the Bold,"['Action', 'Crime', 'Science-Fiction']",English,7.6,"Batman: The Brave and the Bold | ['Action', 'Crime', 'Science-Fiction'] | English | 7.6"
Battle Creek,"['Drama', 'Comedy', 'Crime']",English,7.2,"Battle Creek | ['Drama', 'Comedy', 'Crime'] | English | 7.2"
BattleBots,['Action'],English,7.7,BattleBots | ['Action'] | English | 7.7
Battlestar Galactica,"['Drama', 'Science-Fiction', 'War']",English,8.7,"Battlestar Galactica | ['Drama', 'Science-Fiction', 'War'] | English | 8.7"
Battlestar Galactica,"['Action', 'Adventure', 'Science-Fiction']",English,7.9,"Battlestar Galactica | ['Action', 'Adventure', 'Science-Fiction'] | English | 7.9"
Battlestar Galactica: Blood & Chrome,"['Drama', 'Action', 'Science-Fiction']",English,8,"Battlestar Galactica: Blood & Chrome | ['Drama', 'Action', 'Science-Fiction'] | English | 8"
Baywatch,"['Drama', 'Action', 'Adventure']",English,6.2,"Baywatch | ['Drama', 'Action', 'Adventure'] | English | 6.2"
BBQ Pit Wars,['Food'],English,,BBQ Pit Wars | ['Food'] | English
BBQ Rules,['Food'],English,,BBQ Rules | ['Food'] | English
Beach Flip,['DIY'],English,,Beach Flip | ['DIY'] | English
Beastmaster,"['Action', 'Adventure', 'Fantasy']",English,7,"Beastmaster | ['Action', 'Adventure', 'Fantasy'] | English | 7"
Beat Bobby Flay,['Food'],English,6.5,Beat Bobby Flay | ['Food'] | English | 6.5
Beauty & the Beast,"['Drama', 'Horror', 'Romance']",English,7.4,"Beauty & the Beast | ['Drama', 'Horror', 'Romance'] | English | 7.4"
Beauty and the Geek,['Romance'],English,,Beauty and the Geek | ['Romance'] | English
Beavis and Butt-Head,"['Comedy', 'Music']",English,7.2,"Beavis and Butt-Head | ['Comedy', 'Music'] | English | 7.2"
Becker,['Comedy'],English,7.9,Becker | ['Comedy'] | English | 7.9
